Case,year,year0,rep,Station,istation,depth,lat,long,latx,longy,tots,spp,HP,JP,HB,V,ES2,ES10,ES15,ES50,ES100,ES200,ES500,GD,alpha,mxd,devs,region,period,SandClass,sqrttots,sqrtspp,lnspp,lnalpha,sqrtTOC,MED,Depth (m),% Gravel,% Fines,Disturb
1,1992,0,1,FF01,1,68,42.465667,-70.621833,893249.7,2995977.8,404,51,4.611339,0.81294,3.004975,0.813693,1.94068,7.873863,10.60948,21.719201,29.898944,39.66493,0,8.497996,15.447592,0.962287,0.037713,far,pre,LE50,20.099751,7.141428,3.931826,2.737453,1.47,13,68,0.8,86.55,FALSE
2,1992,0,2,FF01,1,68,42.465667,-70.621833,893249.7,2995977.8,441,56,4.638555,0.798738,3.023702,0.798986,1.936054,7.792378,10.508596,22.090397,31.207935,42.12886,0,9.196845,17.003369,0.94663,0.05337,far,pre,LE50,21,7.483315,4.025352,2.833412,1.47,10,68,0.8,86.55,FALSE
3,1992,0,3,FF01,1,68,42.465667,-70.621833,893249.7,2995977.8,355,52,4.656239,0.816821,3.012593,0.817849,1.941895,7.915875,10.695244,22.277109,31.116849,41.695712,0,8.855408,16.786362,0.955623,0.044377,far,pre,LE50,18.841444,7.211103,3.951244,2.820567,1.47,8,68,0.8,86.55,FALSE
4,1992,0,1,FF04,2,90,42.288333,-70.425,947172.8,2931967.5,808,54,3.0523,0.530384,2.014655,0.524378,1.672635,4.938237,6.606113,14.988669,22.268782,31.183284,45.441932,8.066248,13.03403,0.662752,0.337248,far,pre,LE50,28.425341,7.348469,3.988984,2.567564,1.47,37,90,0.15,83.55,TRUE
5,1992,0,2,FF04,2,90,42.288333,-70.425,947172.8,2931967.5,539,38,3.02738,0.576872,1.993044,0.571715,1.708541,5.148615,6.817307,14.216454,19.426614,25.42181,36.816393,6.041609,9.327708,0.757096,0.242904,far,pre,LE50,23.216374,6.164414,3.637586,2.232989,1.47,33,90,0.15,83.55,FALSE
6,1992,0,3,FF04,2,90,42.288333,-70.425,947172.8,2931967.5,1212,49,3.005158,0.53523,2.016484,0.531604,1.714962,4.951666,6.422129,13.496805,19.556264,26.622655,36.910448,6.901382,10.248147,0.69418,0.30582,far,pre,LE50,34.81379,7,3.89182,2.327097,1.47,63,90,0.15,83.55,TRUE
7,1992,0,1,FF05,3,65,42.133333,-70.4225,948563.8,2875497.3,1250,50,2.383254,0.422274,1.588274,0.416395,1.532756,3.953518,5.244718,12.026788,18.119829,25.618127,37.2252,7.011739,10.428189,0.561979,0.438021,far,pre,LE50,35.355339,7.071068,3.912023,2.344513,1.11,28,65,0.65,62.5,TRUE
8,1992,0,2,FF05,3,65,42.133333,-70.4225,948563.8,2875497.3,862,41,2.046799,0.38204,1.347649,0.374118,1.458731,3.500044,4.622627,10.754218,16.411985,23.317993,33.878879,6.065757,8.95767,0.519906,0.480094,far,pre,LE50,29.359837,6.403124,3.713572,2.19251,1.11,19,65,0.65,62.5,TRUE
9,1992,0,3,FF05,3,65,42.133333,-70.4225,948563.8,2875497.3,984,54,2.348197,0.408035,1.548911,0.400977,1.524851,3.8927,5.152105,11.744652,17.779934,25.78963,40.341299,7.835597,12.28482,0.527223,0.472777,far,pre,LE50,31.368774,7.348469,3.988984,2.508364,1.11,25,65,0.65,62.5,TRUE
10,1992,0,1,FF06,4,35,41.898333,-70.403333,954864.8,2789937,1459,52,3.578844,0.627819,2.417786,0.626035,1.851564,5.950388,7.518953,14.681576,21.046723,28.529747,39.229347,7.137458,10.529473,0.779652,0.220348,far,pre,LE50,38.196859,7.211103,3.951244,2.354178,1.22,285,35,0.05,62.95,FALSE
11,1992,0,2,FF06,4,35,41.898333,-70.403333,954864.8,2789937,1404,48,3.651919,0.653884,2.468993,0.652291,1.863658,6.137498,7.782349,15.023629,21.087852,28.059559,37.938082,6.623357,9.618895,0.838989,0.161011,far,pre,LE50,37.469988,6.928203,3.871201,2.263729,1.22,259,35,0.05,62.95,FALSE
12,1992,0,3,FF06,4,35,41.898333,-70.403333,954864.8,2789937,1951,60,3.361937,0.569155,2.276001,0.566908,1.816682,5.427967,6.801253,13.699404,20.47794,29.0277,41.472964,7.919645,11.716197,0.678293,0.321707,far,pre,LE50,44.170126,7.745967,4.094345,2.460972,1.22,309,35,0.05,62.95,TRUE
13,1992,0,1,FF07,5,39,41.958333,-70.266667,991752.3,2812306.8,1259,44,3.269385,0.598851,2.208689,0.597462,1.823387,5.621382,7.051845,12.682002,16.909524,22.184501,31.431868,6.164129,8.865805,0.754673,0.245327,far,pre,LE50,35.48239,6.63325,3.78419,2.182202,1.52,257,39,0,79.2,FALSE
14,1992,0,2,FF07,5,39,41.958333,-70.266667,991752.3,2812306.8,1261,48,3.417712,0.611949,2.309454,0.611401,1.866548,5.991499,7.356158,12.178235,16.319961,21.871167,32.128592,6.723009,9.883439,0.678994,0.321006,far,pre,LE50,35.510562,6.928203,3.871201,2.290861,1.52,267,39,0,79.2,TRUE
15,1992,0,3,FF07,5,39,41.958333,-70.266667,991752.3,2812306.8,2994,50,3.522113,0.624061,2.409285,0.623503,1.873178,6.165132,7.648469,12.874243,17.190384,22.575231,31.10333,6.246591,8.526573,0.782052,0.217948,far,pre,LE50,54.717456,7.071068,3.912023,2.143187,1.52,658,39,0,79.2,FALSE
16,1992,0,1,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,2661,74,3.125871,0.503405,2.121143,0.501399,1.770675,5.079885,6.370802,12.527225,18.410245,26.325056,39.879189,9.383174,14.108819,0.582438,0.417562,far,pre,G50,51.584882,8.602325,4.304065,2.6468,0.877,30,50,0.1,18.6,TRUE
17,1992,0,2,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,2840,73,3.039996,0.491128,2.065045,0.489182,1.766287,4.958331,6.214356,12.006457,17.127251,24.16833,37.520878,9.180589,13.666852,0.57045,0.42955,far,pre,G50,53.29165,8.544004,4.290459,2.614973,0.877,139,50,0.1,18.6,TRUE
18,1992,0,3,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,2727,65,2.946418,0.489246,2.003824,0.487586,1.761434,5.044788,6.261122,10.765137,14.63981,20.573368,32.921981,8.216452,11.962724,0.541349,0.458651,far,pre,G50,52.220686,8.062258,4.174387,2.481795,0.877,145,50,0.1,18.6,TRUE
19,1992,0,1,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,3632,82,4.171366,0.656128,2.848256,0.655606,1.898274,6.925153,9.051045,17.903449,25.17019,33.943759,47.464413,10.003002,14.910227,0.817194,0.182806,near,pre,G50,60.266077,9.055385,4.406719,2.702047,0.872,329,28.7,1,31,FALSE
20,1992,0,2,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,3486,89,4.54066,0.701181,3.0992,0.701226,1.929284,7.563848,10.062133,20.220806,28.066466,37.249346,51.057034,10.911529,16.636535,0.866275,0.133725,near,pre,G50,59.042358,9.433981,4.488636,2.811601,0.872,310,28.7,1,31,FALSE
21,1992,0,3,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,3748,80,4.506635,0.712858,3.081041,0.71277,1.928268,7.556966,10.056726,20.005437,27.448795,36.188794,49.049579,9.721742,14.368398,0.920924,0.079076,near,pre,G50,61.220911,8.944272,4.382027,2.665031,0.872,275,28.7,1,31,FALSE
22,1992,0,1,FF11,8,88.42,42.658333,-70.5,925297.4,3066550.5,542,39,3.313549,0.626925,2.193352,0.624959,1.843702,5.69831,7.044545,12.557058,17.465623,24.4955,37.57987,6.195131,9.635812,0.715139,0.284861,far,pre,LE50,23.280893,6.244998,3.663562,2.265487,1.37,20,88.4,0.05,77.65,TRUE
23,1992,0,2,FF11,8,88.42,42.658333,-70.5,925297.4,3066550.5,402,30,3.021093,0.615684,1.986224,0.612197,1.809382,5.162685,6.304239,11.576605,16.421566,22.658296,0,5.002958,7.499913,0.736903,0.263097,far,pre,LE50,20.049938,5.477226,3.401197,2.014891,1.37,6,88.4,0.05,77.65,TRUE
24,1992,0,3,FF11,8,88.42,42.658333,-70.5,925297.4,3066550.5,982,39,3.43042,0.649037,2.31062,0.64774,1.848714,5.932455,7.468081,13.533632,18.043605,23.219892,31.414108,5.660713,8.118844,0.846412,0.153588,far,pre,LE50,31.336879,6.244998,3.663562,2.094188,1.37,43,88.4,0.05,77.65,FALSE
25,1992,0,1,FF12,9,23.47,42.39,-70.899667,818479.6,2967753.3,1559,54,3.704188,0.64366,2.506931,0.642524,1.865085,6.285617,8.031229,15.075245,20.869092,27.813581,38.434,7.34514,10.85651,0.805468,0.194532,near,pre,G50,39.484174,7.348469,3.988984,2.384765,0.913,446,23.5,2.75,27.95,FALSE
26,1992,0,2,FF12,9,23.47,42.39,-70.899667,818479.6,2967753.3,2099,58,3.557903,0.60736,2.418455,0.606493,1.860754,6.062075,7.613378,13.849925,18.896683,25.098877,35.642574,7.582476,11.041775,0.733684,0.266316,near,pre,G50,45.814845,7.615773,4.060443,2.401686,0.913,542,23.5,2.75,27.95,TRUE
27,1992,0,3,FF12,9,23.47,42.39,-70.899667,818479.6,2967753.3,2819,56,3.372394,0.580711,2.301791,0.579821,1.852213,5.772345,7.093059,12.39771,16.93583,22.72337,32.679178,7.049223,9.903082,0.697272,0.302729,near,pre,G50,53.094256,7.483315,4.025352,2.292846,0.913,586,23.5,2.75,27.95,TRUE
28,1992,0,1,FF13,10,20.73,42.319833,-70.823,839394,2942339.5,1149,51,3.566565,0.628755,2.400031,0.627398,1.858238,6.03426,7.601192,14.238306,19.875214,26.759933,37.905301,7.237484,10.934323,0.755981,0.244019,near,pre,G50,33.896903,7.141428,3.931826,2.391907,1.13,134,20.7,39.4,26.4,FALSE
29,1992,0,2,FF13,10,20.73,42.319833,-70.823,839394,2942339.5,405,34,3.62527,0.712589,2.381785,0.710125,1.867021,6.230606,7.951272,15.452781,21.194975,27.350251,0,5.662998,8.839881,0.898308,0.101692,near,pre,G50,20.124612,5.830952,3.526361,2.179273,1.13,88,20.7,39.4,26.4,FALSE
30,1992,0,3,FF13,10,20.73,42.319833,-70.823,839394,2942339.5,1355,51,3.654489,0.644255,2.469527,0.643346,1.8704,6.272208,7.940258,14.423883,19.62537,26.187137,36.790344,7.071982,10.470856,0.785508,0.214492,near,pre,G50,36.810325,7.141428,3.931826,2.348596,1.13,198,20.7,39.4,26.4,FALSE
31,1992,0,1,FF14,11,73.31,42.416667,-70.654833,884523,2978031.8,592,39,3.231386,0.611379,2.133831,0.606252,1.746273,5.390341,7.112249,15.190929,21.645872,28.494075,37.334792,6.109495,9.371541,0.790847,0.209153,far,pre,LE50,24.33105,6.244998,3.663562,2.237677,1.31,17,73.3,0.2,79.6,FALSE
32,1992,0,2,FF14,11,73.31,42.416667,-70.654833,884523,2978031.8,403,44,3.909741,0.716144,2.544317,0.712505,1.844845,6.522025,8.761364,18.867275,26.435038,35.050728,0,7.334633,12.580241,0.885152,0.114848,far,pre,LE50,20.07486,6.63325,3.78419,2.532127,1.31,8,73.3,0.2,79.6,FALSE
33,1992,0,3,FF14,11,73.31,42.416667,-70.654833,884523,2978031.8,537,47,3.885111,0.699442,2.559137,0.697473,1.863921,6.533994,8.598519,17.537382,24.407652,32.421801,45.795654,7.476935,12.396438,0.867698,0.132302,far,pre,LE50,23.17326,6.855655,3.850148,2.517409,1.31,7,73.3,0.2,79.6,FALSE
34,1992,0,1,NF01,13,21,42.339167,-70.841833,834246.2,2949344.8,1077,59,4.195666,0.713228,2.815543,0.712577,1.907909,7.062375,9.239591,18.294403,25.461238,33.911443,47.10661,8.45038,13.415479,0.878243,0.121757,near,pre,G50,32.817678,7.681146,4.077537,2.596409,0.753,10,21,0.8,7,FALSE
35,1992,0,1,NF02,14,26,42.3385,-70.828167,837943,2949130.5,659,46,4.107211,0.74358,2.732192,0.743052,1.903049,7.059502,9.279941,17.982846,24.180257,31.366842,42.281006,7.087037,11.255822,0.93771,0.06229,near,pre,G50,25.670995,6.78233,3.828641,2.420886,1.62,158,26,0,77.2,FALSE
36,1992,0,1,NF03,15,29,42.3445,-70.8225,839457.7,2951329.3,3100,69,3.946373,0.646044,2.693707,0.645533,1.89114,6.678074,8.587479,16.153209,22.226571,29.79807,41.315984,8.582989,12.507045,0.801094,0.198906,near,pre,G50,55.677644,8.306624,4.234107,2.526292,0.906,449,29,0.7,35.1,FALSE
37,1992,0,1,NF04,16,34,42.4155,-70.8065,844112.4,2977241.3,755,48,3.664998,0.656226,2.441275,0.654486,1.86437,6.18307,7.861841,15.117396,21.303459,28.978699,41.343214,7.243405,11.408614,0.783868,0.216132,near,pre,G50,27.477263,6.928203,3.871201,2.434369,0.622,5,34,37.7,3.6,FALSE
38,1992,0,1,NF05,17,36,42.427,-70.833833,836158.6,2981368.8,2828,92,3.635373,0.557268,2.464561,0.555367,1.839392,5.784576,7.311943,14.742592,22.149323,32.568737,51.132068,11.576222,18.211791,0.61043,0.38957,near,pre,G50,53.178943,9.591663,4.521789,2.902069,0.881,120,36,0.5,22.3,TRUE
39,1992,0,1,NF06,18,31,42.405,-70.833167,836401.4,2973353,3330,65,2.801707,0.465217,1.907968,0.46316,1.726086,4.531916,5.65632,11.226225,16.328426,23.160236,34.854378,8.014078,11.451653,0.569833,0.430167,near,pre,G50,57.706152,8.062258,4.174387,2.438134,1,174,31,0.2,37.6,TRUE
40,1992,0,1,NF07,19,32,42.41,-70.814833,841338.2,2975214.5,5650,84,3.402351,0.532256,2.330649,0.531292,1.825686,5.6519,7.07655,13.04922,18.609158,26.217072,39.278296,9.722885,13.992071,0.615682,0.384318,near,pre,G50,75.166482,9.165151,4.430817,2.638491,1.09,401,32,0.1,40.5,TRUE
41,1992,0,1,NF08,20,28,42.4,-70.8635,828222.6,2971468.3,1261,31,2.708579,0.546724,1.834739,0.544548,1.736072,4.747281,5.863938,10.267537,13.515886,17.352525,23.740725,4.341943,5.745153,0.779774,0.220226,near,pre,LE50,35.510562,5.567764,3.433987,1.748356,1.78,197,28,0,82,FALSE
42,1992,0,1,NF09,21,29,42.399833,-70.844833,833265,2971445.8,2293,79,4.218658,0.669227,2.862964,0.668645,1.894454,6.942381,9.15705,18.740026,26.405072,35.512494,49.325381,10.209863,15.861496,0.830677,0.169323,near,pre,G50,47.88528,8.888194,4.369448,2.763895,1.01,278,29,0.1,43.9,FALSE
43,1992,0,1,NF10,22,32.91,42.392833,-70.838167,835085.4,2968908.8,1827,56,3.741762,0.644314,2.538964,0.643404,1.860538,6.304401,8.166511,15.980886,21.467929,27.443524,37.420632,7.456297,10.926367,0.846362,0.153638,near,pre,G50,42.743421,7.483315,4.025352,2.391179,0.868,372,32.9,0.1,39.6,FALSE
44,1992,0,1,NF11,23,31.1,42.389833,-70.8375,835274.1,2967817,1574,72,3.682686,0.596877,2.479105,0.59498,1.84173,5.984885,7.690677,15.536442,22.623912,31.860352,47.308948,9.780781,15.563168,0.691835,0.308165,near,pre,G50,39.673669,8.485281,4.276666,2.744907,0.847,485,31.1,5.3,25.5,TRUE
45,1992,0,1,NF12,24,34.93,42.39,-70.8305,837164.6,2967892.5,1157,53,3.647468,0.636787,2.455036,0.635839,1.876132,6.26591,7.855584,13.970002,19.336341,26.482314,38.796105,7.513909,11.460639,0.726256,0.273744,near,pre,LE50,34.014703,7.28011,3.970292,2.438918,0.985,249,34.9,0,70.7,TRUE
46,1992,0,1,NF13,25,33.82,42.39,-70.8225,839325.8,2967909.8,1271,65,3.869587,0.642536,2.600673,0.64145,1.876208,6.448427,8.296953,16.229415,22.751311,31.052017,45.672839,9.094013,14.491727,0.750963,0.249037,near,pre,G50,35.651087,8.062258,4.174387,2.673578,0.673,80,33.8,0.2,3.8,FALSE
47,1992,0,1,NF14,26,34.09,42.386667,-70.822667,839290.4,2966694.5,2313,73,4.047264,0.653858,2.750227,0.653446,1.904012,6.885902,8.860872,16.342,22.3988,30.404456,44.23637,9.423853,14.344316,0.751337,0.248663,near,pre,G50,48.093659,8.544004,4.290459,2.663354,0.959,346,34.1,8.9,13.2,FALSE
48,1992,0,1,NF15,27,32.67,42.382167,-70.827833,837907.5,2965043.8,2694,63,3.706813,0.620151,2.525438,0.619064,1.872942,6.266339,7.912251,14.437649,20.056547,27.805975,40.841864,7.975913,11.545243,0.748553,0.251447,near,pre,G50,51.903757,7.937254,4.143135,2.446273,0.959,407,32.7,3.7,19.5,TRUE
49,1992,0,1,NF16,28,31.1,42.378333,-70.837667,835261.6,2963626,1261,49,3.525589,0.62792,2.378473,0.626524,1.839041,6.021918,7.730058,14.423558,19.190368,25.334935,36.322329,6.863072,10.143077,0.793281,0.206719,near,pre,G50,35.510562,7,3.89182,2.316791,1.43,427,31.1,0,76.5,FALSE
50,1992,0,1,NF17,29,30.6,42.381333,-70.814833,841422.3,2964768,624,51,4.356865,0.768078,2.884855,0.767272,1.920124,7.367835,9.757028,19.718927,27.686859,36.925434,48.55029,7.923991,13.139774,0.954125,0.045875,near,pre,G50,24.979992,7.141428,3.931826,2.575644,0.656,3,30.6,0.1,1.2,FALSE
51,1992,0,1,NF18,30,33.34,42.396683,-70.82185,839344.4,2970309.7,1820,74,4.166678,0.671022,2.818262,0.670404,1.89447,6.882662,9.031376,18.348479,25.791978,34.637441,48.592343,9.858002,15.499835,0.822115,0.177885,near,pre,LE50,42.661458,8.602325,4.304065,2.740829,0.868,211,33.3,54.1,9.8,FALSE
52,1992,0,1,NF19,31,33.21,42.371683,-70.805017,843965.5,2961235.9,3991,77,3.537066,0.564415,2.414296,0.562878,1.806995,5.573592,7.214888,15.651449,23.256323,32.409787,45.812143,9.286286,13.532227,0.710363,0.289637,near,pre,G50,63.174362,8.774964,4.343805,2.605074,0.705,186,33.2,8.8,6.3,TRUE
53,1992,0,1,NF20,32,28.87,42.378167,-70.844833,833325.8,2963550.3,1273,48,3.315793,0.5937,2.237025,0.592121,1.828903,5.667921,7.084853,12.728353,17.328367,23.496484,34.626295,6.714102,9.859466,0.7169,0.2831,near,pre,G50,35.679126,6.928203,3.871201,2.288432,1.2,420,28.9,1.5,57.8,TRUE
54,1993,1,1,FF01,1,68,42.465667,-70.621833,893249.7,2995977.8,496,53,4.515826,0.788388,2.967087,0.789425,1.937887,7.752469,10.349895,20.43619,27.943086,37.311048,0,8.53933,15.029416,0.913545,0.086455,far,pre,LE50,22.271057,7.28011,3.970292,2.710009,1.44,16,68,0.18,72.38,FALSE
55,1993,1,2,FF01,1,68,42.465667,-70.621833,893249.7,2995977.8,688,55,4.394408,0.760099,2.917878,0.760325,1.931367,7.550518,9.968632,19.04237,26.10089,35.4735,50.384718,8.41778,14.065382,0.884708,0.115292,far,pre,LE50,26.229754,7.416198,4.007333,2.643717,1.44,19,68,0.18,72.38,FALSE
56,1993,1,3,FF01,1,68,42.465667,-70.621833,893249.7,2995977.8,602,56,4.58583,0.789659,3.031858,0.790629,1.940116,7.821616,10.482891,21.048676,28.828644,37.639998,52.256485,8.749648,15.090469,0.937781,0.062219,far,pre,LE50,24.535688,7.483315,4.025352,2.714063,1.44,20,68,0.18,72.38,FALSE
57,1993,1,1,FF04,2,90,42.288333,-70.425,947172.8,2931967.5,593,38,3.534909,0.673582,2.343304,0.670132,1.805239,6.001033,7.955114,16.240413,21.939283,28.213749,36.712074,5.951268,9.053715,0.891362,0.108638,far,pre,LE50,24.351591,6.164414,3.637586,2.203175,1.45,34,90,0,78.45,FALSE
58,1993,1,2,FF04,2,90,42.288333,-70.425,947172.8,2931967.5,162,32,3.980749,0.79615,2.490289,0.792789,1.886052,6.952147,9.287562,19.509558,26.800384,0,0,6.289807,11.948548,0.955604,0.044396,far,pre,LE50,12.727922,5.656854,3.465736,2.48061,1.45,13,90,0,78.45,FALSE
59,1993,1,3,FF04,2,90,42.288333,-70.425,947172.8,2931967.5,301,37,4.095285,0.786126,2.653231,0.785075,1.90443,7.116047,9.400876,18.669005,25.247563,32.375616,0,6.483141,11.085752,1.028149,0.028149,far,pre,LE50,17.349352,6.082763,3.610918,2.405661,1.45,33,90,0,78.45,FALSE
60,1993,1,1,FF05,3,65,42.133333,-70.4225,948563.8,2875497.3,840,49,3.608661,0.642715,2.406471,0.640027,1.827553,6.016799,7.833579,15.781512,22.208625,30.143529,42.300958,7.277154,11.348552,0.811906,0.188094,far,pre,LE50,28.982753,7,3.89182,2.42909,0.962,48,65,0,45.41,FALSE
61,1993,1,2,FF05,3,65,42.133333,-70.4225,948563.8,2875497.3,871,58,3.944725,0.673393,2.628435,0.671618,1.868958,6.557025,8.591881,17.346157,24.495506,33.47687,48.424989,8.567661,13.983741,0.814921,0.185079,far,pre,LE50,29.512709,7.615773,4.060443,2.637895,0.962,61,65,0,45.41,FALSE
62,1993,1,3,FF05,3,65,42.133333,-70.4225,948563.8,2875497.3,878,51,3.892729,0.686255,2.601211,0.684503,1.859731,6.524104,8.608016,17.456084,24.04228,31.626109,43.502818,7.524736,11.796947,0.887202,0.112798,far,pre,LE50,29.631065,7.141428,3.931826,2.467841,0.962,47,65,0,45.41,FALSE
63,1993,1,1,FF06,4,35,41.898333,-70.403333,954864.8,2789937,1123,58,4.27012,0.728941,2.868856,0.728158,1.90881,7.146225,9.425684,19.067566,26.681826,35.561029,47.360238,8.257687,12.967229,0.928491,0.071509,far,pre,LE50,33.511192,7.615773,4.060443,2.562425,1.02,182,35,0.08,48.29,FALSE
64,1993,1,2,FF06,4,35,41.898333,-70.403333,954864.8,2789937,2001,72,4.273062,0.692563,2.895674,0.691763,1.901431,7.039534,9.291467,19.032399,26.913729,36.440166,50.5469,9.471937,14.614317,0.875024,0.124976,far,pre,LE50,44.732538,8.485281,4.276666,2.682002,1.02,318,35,0.08,48.29,FALSE
65,1993,1,3,FF06,4,35,41.898333,-70.403333,954864.8,2789937,1786,68,4.064126,0.667622,2.750128,0.666753,1.888162,6.775958,8.84856,17.446127,24.404969,33.063066,46.771228,9.08152,14.002377,0.820586,0.179414,far,pre,LE50,42.261093,8.246211,4.219508,2.639227,1.02,247,35,0.08,48.29,FALSE
66,1993,1,1,FF07,5,39,41.958333,-70.266667,991752.3,2812306.8,2443,49,3.454591,0.615275,2.356053,0.614179,1.845543,5.834301,7.329655,13.778494,19.006831,24.982479,33.372747,6.28126,8.683079,0.818379,0.181621,far,pre,LE50,49.426713,7,3.89182,2.161376,1.46,598,39,0,66.54,FALSE
67,1993,1,2,FF07,5,39,41.958333,-70.266667,991752.3,2812306.8,2664,53,3.754708,0.65551,2.562728,0.654626,1.869588,6.360159,8.151492,15.511945,21.392324,28.074976,37.085984,6.719421,9.375556,0.889957,0.110043,far,pre,LE50,51.613952,7.28011,3.970292,2.238106,1.46,376,39,0,66.54,FALSE
68,1993,1,1,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,1271,61,2.870149,0.483945,1.91619,0.479397,1.72076,4.462699,5.626615,12.236874,19.035021,28.218306,43.30704,8.534382,13.360436,0.551174,0.448826,far,pre,G50,35.651087,7.81025,4.110874,2.592298,0.624,35,50,0.47,14.94,TRUE
69,1993,1,2,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,827,60,3.401118,0.575788,2.248569,0.571166,1.786618,5.367432,6.934942,15.181086,23.224671,33.96508,50.387422,8.931489,14.863621,0.660673,0.339327,far,pre,G50,28.757608,7.745967,4.094345,2.698917,0.624,32,50,0.47,14.94,TRUE
70,1993,1,3,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,1144,54,3.06818,0.533143,2.051025,0.529013,1.714842,5.024627,6.546855,13.766038,20.224563,28.496164,41.512456,7.667964,11.773165,0.674653,0.325347,far,pre,G50,33.823069,7.348469,3.988984,2.465823,0.624,81,50,0.47,14.94,TRUE
71,1993,1,1,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,1123,65,4.468168,0.741929,2.997714,0.741627,1.922143,7.451792,9.927492,20.339518,28.393669,37.776924,51.798278,9.254304,15.019554,0.924145,0.075855,near,pre,G50,33.511192,8.062258,4.174387,2.709353,0.718,39,28.7,0.37,33.25,FALSE
72,1993,1,2,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,1313,63,4.43757,0.742406,2.990046,0.74208,1.922829,7.444772,9.896494,20.00597,27.617764,36.40267,49.307007,8.774288,13.797529,0.94607,0.05393,near,pre,G50,36.235342,7.937254,4.143135,2.62449,0.718,84,28.7,0.37,33.25,FALSE
73,1993,1,3,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,1988,72,4.618779,0.748596,3.133812,0.748747,1.930672,7.698292,10.374432,21.574492,29.368978,37.597166,49.742807,9.480065,14.638402,0.9517,0.0483,near,pre,G50,44.586994,8.485281,4.276666,2.683648,0.718,140,28.7,0.37,33.25,FALSE
74,1993,1,1,FF11,8,88.42,42.658333,-70.5,925297.4,3066550.5,1019,48,3.811684,0.68249,2.563782,0.681879,1.887245,6.607911,8.463035,15.311185,20.391725,26.890242,38.015552,6.92983,10.459067,0.827121,0.172879,far,pre,LE50,31.921779,6.928203,3.871201,2.347469,1.25,67,88.4,0,71.81,FALSE
75,1993,1,2,FF11,8,88.42,42.658333,-70.5,925297.4,3066550.5,1112,55,4.056808,0.701705,2.730515,0.701733,1.909452,7.020459,9.085151,16.685942,22.25938,29.254518,41.086563,7.841554,12.14759,0.824413,0.175587,far,pre,LE50,33.346664,7.416198,4.007333,2.497131,1.25,33,88.4,0,71.81,FALSE
76,1993,1,3,FF11,8,88.42,42.658333,-70.5,925297.4,3066550.5,874,54,3.844089,0.667969,2.56854,0.667061,1.885754,6.552182,8.372911,15.630806,21.691246,29.607012,43.603026,7.972739,12.723623,0.770136,0.229864,far,pre,LE50,29.563491,7.348469,3.988984,2.54346,1.25,14,88.4,0,71.81,FALSE
77,1993,1,1,FF12,9,23.47,42.39,-70.899667,818479.6,2967753.3,973,41,3.403504,0.635272,2.288787,0.633611,1.839663,5.826429,7.352271,13.607555,18.292737,23.980996,33.422029,5.95897,8.668988,0.819454,0.180546,near,pre,G50,31.192948,6.403124,3.713572,2.159752,0.608,208,23.5,3.6,20.57,FALSE
78,1993,1,2,FF12,9,23.47,42.39,-70.899667,818479.6,2967753.3,823,35,2.809197,0.547678,1.879477,0.544153,1.723683,4.887741,6.168589,11.173695,15.381106,21.01844,30.078358,5.213798,7.418464,0.733076,0.266924,near,pre,G50,28.687977,5.91608,3.555348,2.003972,0.608,67,23.5,3.6,20.57,TRUE
79,1993,1,3,FF12,9,23.47,42.39,-70.899667,818479.6,2967753.3,1428,42,2.586815,0.479722,1.746685,0.476989,1.685406,4.498455,5.614423,10.065043,13.715876,18.692914,28.005874,5.781914,8.114259,0.629275,0.370725,near,pre,G50,37.788887,6.480741,3.73767,2.093623,0.608,190,23.5,3.6,20.57,TRUE
80,1993,1,1,FF13,10,20.73,42.319833,-70.823,839394,2942339.5,1450,42,3.054909,0.56653,2.06859,0.564767,1.782951,5.297264,6.640042,11.650711,15.611451,20.960194,29.707083,5.769771,8.084878,0.730878,0.269122,near,pre,G50,38.078866,6.480741,3.73767,2.089995,0.849,142,20.7,0.09,27.99,TRUE
81,1993,1,2,FF13,10,20.73,42.319833,-70.823,839394,2942339.5,916,39,3.297549,0.623897,2.216822,0.622424,1.841697,5.721022,7.088811,12.325834,16.490767,22.123335,31.918078,5.718461,8.268824,0.763334,0.236666,near,pre,G50,30.265492,6.244998,3.663562,2.112492,0.849,149,20.7,0.09,27.99,FALSE
82,1993,1,3,FF13,10,20.73,42.319833,-70.823,839394,2942339.5,1657,43,3.248171,0.598602,2.206364,0.597506,1.824951,5.644504,7.049072,12.283326,16.209578,21.131754,29.339363,5.800805,8.06796,0.769027,0.230973,near,pre,G50,40.706265,6.557439,3.7612,2.087901,0.849,83,20.7,0.09,27.99,FALSE
